checksum1,checksum2,dataset_type,join_chunk,join_count,join_schedule,join_task_grain,join_task_partitions,join_threads,join_throughput,join_time,max_key,nr,ns,offset_task_grain,offset_task_partitions,partition_block_size,partition_chunk,partition_schedule,partition_task_blocks,partition_task_grain,partition_threads,partition_throughput,partition_time,time_sec,total_throughput
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,483963700.233031,0.206627,1000000,50000000,50000000,4,4,32768,0,auto,2,2,64,277914140.180344,0.359823,0.570181,175383023.596361
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,487625079.794009,0.205076,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,278445843.010875,0.359136,0.567417,176237153.202608
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,472165635.497438,0.211790,1000000,50000000,50000000,4,4,32768,0,auto,2,2,64,291473776.471314,0.343084,0.558412,179079302.125673
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,496091643.153784,0.201576,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,276858630.665222,0.361195,0.566052,176662364.457679
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,2,2,32,498340037.695818,0.200666,1000000,50000000,50000000,4,4,32768,0,auto,4,4,64,290623807.756654,0.344087,0.548018,182475688.292151
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,507207988.914246,0.197158,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,289330895.672448,0.345625,0.545981,183156578.852572
6185417096973469475,16931092769743058723,uniform,0,2499986166,auto,4,4,32,482144666.935116,0.207407,1000000,50000000,50000000,4,4,32768,0,auto,4,4,64,284111083.302337,0.351975,0.562830,177673434.089016
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,360121935.348218,0.277684,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,289716047.025496,0.345166,0.626183,159697802.191101
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,369673792.060040,0.270509,1000000,50000000,50000000,4,4,32768,0,auto,2,2,64,290535337.304909,0.344192,0.617936,161829035.207840
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,193970196.643903,0.515543,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,286788895.675899,0.348689,0.867414,115285192.990976
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,182655381.706265,0.547479,1000000,50000000,50000000,4,4,32768,0,auto,2,2,64,285913384.054244,0.349756,0.900272,111077567.596948
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,365366168.934625,0.273698,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,293657151.943872,0.340533,0.617497,161944150.354477
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,2,2,32,341484615.631213,0.292839,1000000,50000000,50000000,4,4,32768,0,auto,4,4,64,290591295.855277,0.344126,0.640338,156167616.718900
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,187538270.586605,0.533224,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,284874648.999923,0.351032,0.887419,112686351.796567
12610816366499644757,12079717592018431889,skewed_90_5,0,40578723119,auto,4,4,32,194322200.667983,0.514609,1000000,50000000,50000000,4,4,32768,0,auto,4,4,64,284334894.638389,0.351698,0.869936,114951048.819107
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,65255069.914197,1.532448,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,307315156.432405,0.325399,1.861341,53724700.854485
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,65433060.345238,1.528279,1000000,50000000,50000000,4,4,32768,0,auto,2,2,64,307531259.161566,0.325170,1.857394,53838866.302115
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,4,32,44974462.101756,2.223484,1000000,50000000,50000000,2,2,32768,0,auto,2,2,64,297414729.335994,0.336231,2.562860,39018910.307929
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,4,32,45011088.184013,2.221675,1000000,50000000,50000000,4,4,32768,0,auto,2,2,64,319115799.840011,0.313366,2.538197,39398047.929881
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,67573854.219261,1.479862,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,297979424.640878,0.335594,1.818520,54989764.968385
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,2,2,32,67315616.511397,1.485539,1000000,50000000,50000000,4,4,32768,0,auto,4,4,64,298956835.254677,0.334496,1.823396,54842726.717268
12347604091913951299,2033051395823430535,skewed_90_1,0,173507209024,auto,4,4,32,45058850.575962,2.219320,1000000,50000000,50000000,2,2,32768,0,auto,4,4,64,298589097.028772,0.334908,2.557878,39094903.240341
